vds,vgs,W,VTO,TOX,L,Ids
0,1,0.01,1,1.00E-07,1.00E-07,0
0,1,0.01,1,1.00E-07,2.00E-07,0
0,1,0.01,1,1.00E-07,3.00E-07,0
0,1,0.01,1,1.00E-07,4.00E-07,0
0,1,0.01,1,1.00E-07,5.00E-07,0
0,1,0.01,1.5,1.00E-07,1.00E-07,0
0,1,0.01,1.5,1.00E-07,2.00E-07,0
0,1,0.01,1.5,1.00E-07,3.00E-07,0
0,1,0.01,1.5,1.00E-07,4.00E-07,0
0,1,0.01,1.5,1.00E-07,5.00E-07,0
0,1,0.01,2,1.00E-07,1.00E-07,0
0,1,0.01,2,1.00E-07,2.00E-07,0
0,1,0.01,2,1.00E-07,3.00E-07,0
0,1,0.01,2,1.00E-07,4.00E-07,0
0,1,0.01,2,1.00E-07,5.00E-07,0
0,1,0.02,1,1.00E-07,1.00E-07,0
0,1,0.02,1,1.00E-07,2.00E-07,0
0,1,0.02,1,1.00E-07,3.00E-07,0
0,1,0.02,1,1.00E-07,4.00E-07,0
0,1,0.02,1,1.00E-07,5.00E-07,0
0,1,0.02,1.5,1.00E-07,1.00E-07,0
0,1,0.02,1.5,1.00E-07,2.00E-07,0
0,1,0.02,1.5,1.00E-07,3.00E-07,0
0,1,0.02,1.5,1.00E-07,4.00E-07,0
0,1,0.02,1.5,1.00E-07,5.00E-07,0
0,1,0.02,2,1.00E-07,1.00E-07,0
0,1,0.02,2,1.00E-07,2.00E-07,0
0,1,0.02,2,1.00E-07,3.00E-07,0
0,1,0.02,2,1.00E-07,4.00E-07,0
0,1,0.02,2,1.00E-07,5.00E-07,0
0,1,0.03,1,1.00E-07,1.00E-07,0
0,1,0.03,1,1.00E-07,2.00E-07,0
0,1,0.03,1,1.00E-07,3.00E-07,0
0,1,0.03,1,1.00E-07,4.00E-07,0
0,1,0.03,1,1.00E-07,5.00E-07,0
0,1,0.03,1.5,1.00E-07,1.00E-07,0
0,1,0.03,1.5,1.00E-07,2.00E-07,0
0,1,0.03,1.5,1.00E-07,3.00E-07,0
0,1,0.03,1.5,1.00E-07,4.00E-07,0
0,1,0.03,1.5,1.00E-07,5.00E-07,0
0,1,0.03,2,1.00E-07,1.00E-07,0
0,1,0.03,2,1.00E-07,2.00E-07,0
